                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 2.2254,                 2.1718,                 2.9308,                0.52507,                0.44238,                0.45961,                0.15998,                    nan,                    nan,                    nan,              0.0017723,              0.0017723,              0.0017723
                    117,                 2.1124,                 2.0233,                 2.7785,                0.52507,                0.44238,                0.45961,                0.15998,                    nan,                    nan,                    nan,              0.0017703,              0.0017703,              0.0017703
                    118,                 2.1273,                 2.0233,                 2.8865,                0.45218,                  0.575,                0.45489,                0.19127,                    nan,                    nan,                    nan,              0.0017683,              0.0017683,              0.0017683
                    119,                 2.1232,                 2.1823,                 2.7349,                0.45218,                  0.575,                0.45489,                0.19127,                    nan,                    nan,                    nan,              0.0017664,              0.0017664,              0.0017664
                    120,                 2.0728,                   2.12,                 2.8533,                0.27371,                   0.45,                0.30144,                0.11357,                    nan,                    nan,                    nan,              0.0017644,              0.0017644,              0.0017644
                    121,                 2.2356,                 2.0629,                 2.8867,                0.27371,                   0.45,                0.30144,                0.11357,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                    122,                 2.0586,                 2.0757,                 2.7879,                0.32839,                   0.45,                0.33156,                0.15338,                    nan,                    nan,                    nan,              0.0017604,              0.0017604,              0.0017604
                    123,                  1.998,                  1.932,                 2.7939,                0.32839,                   0.45,                0.33156,                0.15338,                    nan,                    nan,                    nan,              0.0017584,              0.0017584,              0.0017584
                    124,                 2.1439,                 2.0613,                 2.8666,                0.27228,                    0.6,                0.25673,                0.09614,                    nan,                    nan,                    nan,              0.0017565,              0.0017565,              0.0017565
                    125,                 2.0903,                 2.0657,                 2.7153,                0.27228,                    0.6,                0.25673,                0.09614,                    nan,                    nan,                    nan,              0.0017545,              0.0017545,              0.0017545
                    126,                 2.1518,                 2.0393,                 2.8011,                0.32293,                    0.6,                0.28696,                0.11194,                    nan,                    nan,                    nan,              0.0017525,              0.0017525,              0.0017525
                    127,                 1.8654,                 1.9548,                 2.6886,                0.32293,                    0.6,                0.28696,                0.11194,                    nan,                    nan,                    nan,              0.0017505,              0.0017505,              0.0017505
                    128,                 1.9348,                 1.9734,                 2.6787,                0.38293,                  0.525,                0.50697,                0.21973,                    nan,                    nan,                    nan,              0.0017485,              0.0017485,              0.0017485
                    129,                 2.0688,                  1.822,                 2.7108,                0.38293,                  0.525,                0.50697,                0.21973,                    nan,                    nan,                    nan,              0.0017466,              0.0017466,              0.0017466
                    130,                 1.9359,                 2.0166,                 2.7811,                 0.4965,                0.56712,                0.54788,                0.23208,                    nan,                    nan,                    nan,              0.0017446,              0.0017446,              0.0017446
                    131,                 2.0098,                 1.9732,                 2.7475,                 0.4965,                0.56712,                0.54788,                0.23208,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                    132,                 1.9266,                 1.9939,                  2.703,                0.48684,                0.56932,                0.54169,                0.23277,                    nan,                    nan,                    nan,              0.0017406,              0.0017406,              0.0017406
                    133,                 2.0388,                 1.9606,                 2.6953,                0.48684,                0.56932,                0.54169,                0.23277,                    nan,                    nan,                    nan,              0.0017386,              0.0017386,              0.0017386
                    134,                 2.0479,                 1.9664,                 2.6319,                0.49329,                    0.5,                0.52982,                 0.2192,                    nan,                    nan,                    nan,              0.0017367,              0.0017367,              0.0017367
                    135,                 1.9559,                 1.9339,                 2.6595,                0.49329,                    0.5,                0.52982,                 0.2192,                    nan,                    nan,                    nan,              0.0017347,              0.0017347,              0.0017347
                    136,                 1.9589,                 1.8593,                 2.5992,                0.53331,                  0.625,                0.46825,                0.18457,                    nan,                    nan,                    nan,              0.0017327,              0.0017327,              0.0017327
                    137,                 1.8789,                 1.8139,                 2.7336,                0.53331,                  0.625,                0.46825,                0.18457,                    nan,                    nan,                    nan,              0.0017307,              0.0017307,              0.0017307
                    138,                 2.1499,                 1.8886,                 2.7502,                  0.218,                0.27187,                0.20727,                0.09601,                    nan,                    nan,                    nan,              0.0017287,              0.0017287,              0.0017287
                    139,                  2.078,                 1.8814,                 2.6955,                  0.218,                0.27187,                0.20727,                0.09601,                    nan,                    nan,                    nan,              0.0017268,              0.0017268,              0.0017268
                    140,                 2.1549,                   2.04,                 2.7727,                0.30291,                   0.15,                0.24181,                0.10673,                    nan,                    nan,                    nan,              0.0017248,              0.0017248,              0.0017248
                    141,                 2.0771,                 2.0504,                 2.7081,                0.30291,                   0.15,                0.24181,                0.10673,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                    142,                 2.1603,                 1.8096,                 2.7204,                0.39841,                   0.45,                 0.4198,                 0.1884,                    nan,                    nan,                    nan,              0.0017208,              0.0017208,              0.0017208
                    143,                  2.077,                 2.0576,                 2.7066,                0.39841,                   0.45,                 0.4198,                 0.1884,                    nan,                    nan,                    nan,              0.0017188,              0.0017188,              0.0017188
                    144,                 2.0254,                 1.8562,                 2.7183,                0.56785,                0.72276,                0.63281,                0.24447,                    nan,                    nan,                    nan,              0.0017169,              0.0017169,              0.0017169
                    145,                 2.0402,                 1.9449,                  2.718,                0.56785,                0.72276,                0.63281,                0.24447,                    nan,                    nan,                    nan,              0.0017149,              0.0017149,              0.0017149
                    146,                 2.0786,                 1.8402,                 2.7114,                0.52037,                0.67814,                0.54603,                0.22671,                    nan,                    nan,                    nan,              0.0017129,              0.0017129,              0.0017129
                    147,                 1.9662,                 1.9165,                 2.6728,                0.52037,                0.67814,                0.54603,                0.22671,                    nan,                    nan,                    nan,              0.0017109,              0.0017109,              0.0017109
                    148,                 1.8808,                 1.8619,                 2.6046,                 0.5129,                  0.725,                0.59915,                0.30018,                    nan,                    nan,                    nan,              0.0017089,              0.0017089,              0.0017089
                    149,                 1.9355,                 1.8472,                 2.5707,                 0.5129,                  0.725,                0.59915,                0.30018,                    nan,                    nan,                    nan,               0.001707,               0.001707,               0.001707
                    150,                 1.9501,                 1.9026,                 2.6037,                 0.5376,                  0.725,                0.59532,                0.26996,                    nan,                    nan,                    nan,               0.001705,               0.001705,               0.001705
                    151,                 1.9041,                 1.8106,                 2.5505,                 0.5376,                  0.725,                0.59532,                0.26996,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                    152,                 1.9237,                 1.8269,                 2.6863,                0.70555,                0.71898,                0.66962,                0.30499,                    nan,                    nan,                    nan,               0.001701,               0.001701,               0.001701
                    153,                 1.8885,                 1.8745,                 2.6507,                0.70555,                0.71898,                0.66962,                0.30499,                    nan,                    nan,                    nan,               0.001699,               0.001699,               0.001699
                    154,                 1.9723,                 1.9385,                 2.6731,                0.71761,                  0.675,                0.73555,                0.34936,                    nan,                    nan,                    nan,              0.0016971,              0.0016971,              0.0016971
                    155,                 1.8999,                 1.9007,                 2.5337,                0.71761,                  0.675,                0.73555,                0.34936,                    nan,                    nan,                    nan,              0.0016951,              0.0016951,              0.0016951
                    156,                 1.8084,                 1.7936,                 2.5438,                0.60859,                  0.725,                0.66952,                0.36211,                    nan,                    nan,                    nan,              0.0016931,              0.0016931,              0.0016931
                    157,                  1.927,                  1.963,                 2.5517,                0.60859,                  0.725,                0.66952,                0.36211,                    nan,                    nan,                    nan,              0.0016911,              0.0016911,              0.0016911
